,Date,Value in USD,%-change,not taxed investment,monthly Contribution accumulation,Account Balance,not taxed Profit,Taxed Profit,Reinvestment
0,"Jan 30, 1970",100,0.0,0.0,200,200.0,0.0,22.0,0.0
1,"Feb 27, 1970",101,0.010000000000000009,0.0,400,402.0,0.0,19.801980198019805,0.0
2,"Mar 31, 1970",102,0.00990099009900991,0.0,600,605.980198019802,0.0,17.64705882352942,0.0
3,"Apr 30, 1970",103,0.009803921568627416,0.0,800,811.9211803533294,0.0,15.533980582524265,0.0
4,"May 29, 1970",104,0.009708737864077666,0.0,1000,1019.8039102596724,0.0,13.461538461538453,0.0
5,"Jun 30, 1970",105,0.009615384615384581,0.0,1200,1229.6097170890923,0.0,11.428571428571416,0.0
6,"Jul 31, 1970",106,0.00952380952380949,0.0,1400,1441.3202858232742,0.0,9.43396226415095,0.0
7,"Aug 31, 1970",107,0.009433962264151052,0.0,1600,1654.9176470102864,0.0,7.476635514018682,0.0
8,"Sep 30, 1970",108,0.009345794392523255,0.0,1800,1870.384167075803,0.0,5.555555555555543,0.0
9,"Oct 30, 1970",109,0.0092592592592593,0.0,2000,2087.7025389931714,0.0,3.6697247706422047,0.0
10,"Nov 30, 1970",110,0.00917431192660545,0.0,2200,2306.855773295861,0.0,1.818181818181813,0.0
11,"Dec 31, 1970",111,0.009090909090909038,0.0,2400,2504.5489175225653,0.0,-166.09361567730184,2327.8271894167324
12,"Jan 29, 1971",112,0.009009009009008917,0.0,2600,2727.1124212840296,0.0,-16.071428571428584,0.0
13,"Feb 26, 1971",113,0.008928571428571397,0.0,2800,2951.4616393312085,0.0,-17.699115044247776,0.0
14,"Mar 31, 1971",112,-0.008849557522123908,0.0,3000,3125.342509779605,0.0,-16.071428571428584,0.0
15,"Apr 30, 1971",111,-0.008928571428571397,0.0,3200,3297.437665942287,0.0,-14.41441441441441,0.0
16,"May 31, 1971",110,-0.009009009009009028,0.0,3400,3467.731020303167,0.0,-12.72727272727272,0.0
17,"Jun 30, 1971",109,-0.009090909090909038,0.0,3600,3636.2061928458656,0.0,-11.009174311926614,0.0
18,"Jul 30, 1971",108,-0.00917431192660545,0.0,3800,3802.846503003243,0.0,-9.259259259259267,0.0
19,"Aug 31, 1971",107,-0.0092592592592593,0.0,4000,3967.634961308768,0.0,-7.476635514018682,0.0
20,"Sep 30, 1971",106,-0.009345794392523366,0.0,4200,4130.554260735789,0.0,-5.660377358490564,0.0
21,"Oct 29, 1971",105,-0.009433962264150941,0.0,4400,4291.5867677099795,0.0,-3.809523809523796,0.0
22,"Nov 30, 1971",104,-0.00952380952380949,0.0,4600,4450.714512779408,0.0,-1.923076923076934,0.0
23,"Dec 31, 1971",103,-0.009615384615384581,0.0,4800,4565.695844972358,0.0,-81.16718950265567,4222.3335953401765
24,"Jan 31, 1972",102,-0.009708737864077666,0.0,5000,4721.368700846413,0.0,-1.9607843137254974,0.0
25,"Feb 29, 1972",101,-0.009803921568627416,0.0,5200,4875.080772406743,0.0,0.0,0.0
26,"Mar 31, 1972",102,0.00990099009900991,0.0,5400,5123.348898866216,0.0,-1.9607843137254974,0.0
27,"Apr 28, 1972",101,-0.009803921568627416,0.0,5600,5273.119988093018,0.0,0.0,0.0
28,"May 31, 1972",102,0.00990099009900991,0.0,5800,5525.329096886018,0.0,-1.9607843137254974,0.0
29,"Jun 30, 1972",101,-0.009803921568627416,0.0,6000,5671.1592037792925,0.0,0.0,0.0
30,"Jul 31, 1972",102,0.00990099009900991,0.0,6200,5927.30929490582,0.0,-1.9607843137254974,0.0
31,"Aug 31, 1972",101,-0.009803921568627416,0.0,6400,6069.198419465567,0.0,0.0,0.0
32,"Sep 29, 1972",102,0.00990099009900991,0.0,6600,6329.289492925622,0.0,-1.9607843137254974,0.0
33,"Oct 31, 1972",101,-0.009803921568627416,0.0,6800,6467.2376351518415,0.0,0.0,0.0
34,"Nov 30, 1972",102,0.00990099009900991,0.0,7000,6731.269690945424,0.0,-1.9607843137254974,0.0
35,"Dec 29, 1972",101,-0.009803921568627416,6224.306580361748,7200,6802.4050671980995,0.0,0.0,6287.178364001766
