,date,value_in_usd,year,month,day,%-change,not_taxed_investment,not_taxed_change,taxed_profit,taxed_losses,reinvestment,transaction_cost,remaining_tax_free_capital_gain,realized_tax_free_capital_gain
0,1988-01-29,100,1988,1,29,0.0,0.0,0.0,22.0,0.0,0.0,0.0,,
1,1988-02-29,101,1988,2,29,1.0000000000000009,0.0,0.0,19.801980198019805,0.0,0.0,0.0,,
2,1988-03-31,102,1988,3,31,0.990099009900991,0.0,0.0,17.64705882352942,0.0,0.0,0.0,,
3,1988-04-29,103,1988,4,29,0.9803921568627416,0.0,0.0,15.533980582524265,0.0,0.0,0.0,,
4,1988-05-31,104,1988,5,31,0.9708737864077666,0.0,0.0,13.461538461538453,0.0,0.0,0.0,,
5,1988-06-30,105,1988,6,30,0.9615384615384581,0.0,0.0,11.428571428571416,0.0,0.0,0.0,,
6,1988-07-29,106,1988,7,29,0.952380952380949,0.0,0.0,9.43396226415095,0.0,0.0,0.0,,
7,1988-08-31,107,1988,8,31,0.9433962264151052,0.0,0.0,7.476635514018682,0.0,0.0,0.0,,
8,1988-09-30,108,1988,9,30,0.9345794392523255,0.0,0.0,5.555555555555543,0.0,0.0,0.0,,
9,1988-10-31,109,1988,10,31,0.92592592592593,0.0,0.0,3.6697247706422047,0.0,0.0,0.0,,
10,1988-11-30,110,1988,11,30,0.917431192660545,0.0,0.0,1.818181818181813,0.0,0.0,0.0,,
11,1988-12-30,111,1988,12,30,0.9090909090909038,2504.5489175225657,0.0,0.0,0.0,2304.5489175225657,23.27827189416733,673.17,127.82718941673261
